Starting simulation N=40, F_final=0.5, alpha=0.001

--- Phase 1: Adiabatic F ramp (mu fixed at 5.0) ---
F-Ramp Step: 50, Time: 4.9, Current F: 0.005, Max bond dimensions: 3
F-Ramp Step: 100, Time: 9.9, Current F: 0.01, Max bond dimensions: 3
F-Ramp Step: 150, Time: 14.9, Current F: 0.015, Max bond dimensions: 3
F-Ramp Step: 200, Time: 19.9, Current F: 0.02, Max bond dimensions: 3
F-Ramp Step: 250, Time: 24.9, Current F: 0.025, Max bond dimensions: 3
F-Ramp Step: 300, Time: 29.9, Current F: 0.03, Max bond dimensions: 3
F-Ramp Step: 350, Time: 34.9, Current F: 0.035, Max bond dimensions: 3
F-Ramp Step: 400, Time: 39.9, Current F: 0.04, Max bond dimensions: 3
F-Ramp Step: 450, Time: 44.9, Current F: 0.045, Max bond dimensions: 3
F-Ramp Step: 500, Time: 49.9, Current F: 0.05, Max bond dimensions: 3
F-Ramp Step: 550, Time: 54.9, Current F: 0.055, Max bond dimensions: 3
F-Ramp Step: 600, Time: 59.9, Current F: 0.06, Max bond dimensions: 3
F-Ramp Step: 650, Time: 64.9, Current F: 0.065, Max bond dimensions: 3
F-Ramp Step: 700, Time: 69.9, Current F: 0.07, Max bond dimensions: 3
F-Ramp Step: 750, Time: 74.9, Current F: 0.075, Max bond dimensions: 3
F-Ramp Step: 800, Time: 79.9, Current F: 0.08, Max bond dimensions: 3
F-Ramp Step: 850, Time: 84.9, Current F: 0.085, Max bond dimensions: 3
F-Ramp Step: 900, Time: 89.9, Current F: 0.09, Max bond dimensions: 4
F-Ramp Step: 950, Time: 94.9, Current F: 0.095, Max bond dimensions: 4
F-Ramp Step: 1000, Time: 99.9, Current F: 0.1, Max bond dimensions: 4
F-Ramp Step: 1050, Time: 104.9, Current F: 0.105, Max bond dimensions: 4
F-Ramp Step: 1100, Time: 109.9, Current F: 0.11, Max bond dimensions: 4
F-Ramp Step: 1150, Time: 114.9, Current F: 0.115, Max bond dimensions: 4
F-Ramp Step: 1200, Time: 119.9, Current F: 0.12, Max bond dimensions: 4
F-Ramp Step: 1250, Time: 124.9, Current F: 0.125, Max bond dimensions: 4
F-Ramp Step: 1300, Time: 129.9, Current F: 0.13, Max bond dimensions: 4
F-Ramp Step: 1350, Time: 134.9, Current F: 0.135, Max bond dimensions: 4
F-Ramp Step: 1400, Time: 139.9, Current F: 0.14, Max bond dimensions: 4
